suz_word	npi_word	frequency
कोंइब	घोषणा	3
कीशा	घिसार्दै	3
रेयके	भिड	3
निसाफ	न्यायाधीशहरूले	3
पा	कडा	3
मिनु	झ्यालखानाका	3
हजुर	हजुर	3
आन	,	3
यासोन	यासोन	3
वोंइश	पुरुषहरूले	3
बाक्‍ब	दिनुहुन्छ	3
लोव़	कुरामा	3
मासीडोनीया	माकेडोनियाबाट	3
पावल	पावलका	3
आकाया	अखैयाका	3
पाइब	पावललाई	3
नें	नाउँहरू	3
गे	अगि	3
जहाज	चढेर	3
आकाया	अखैया	3
थुं	ठूलो	3
रे	देखाउन	3
ग्रुंइचा	लियौ	3
सां	तीन	3
पाइब	आत्माहरू	3
ङा	त्यस्तो	3
गायस	गायस	3
मरिम्‍शो	गरेका	3
सुइक्‍ब	विश्‍वासीहरूलाई	3
आन	उत्साह	3
अरीस्‍तारकस	अरिस्तार्खस	3
त्रोआस	त्रोआसमा	3
थमा	गवाही	3
काथा	मसँग	3
आन	भएकाहरूका	3
जाक्‍दीश्‍शा	लाग्यौँ	3
आ	सात	3
साइ	एक	3
ङोंइती	पुराना	3
गाक्‍ब	नगर्नू	3
लोव़	भन्छौँ	3
चढ़ेचा	शुद्ध	3
राप्‍पदा	आदेश	3
पा	भएको	3
लां	मार्गलाई	3
साइक्‍चा	मृत्युसम्मै	3
लोव़	आवाजलाई	3
दमस्‍कस	दमस्कसमा	3
मताइब	देख्‍न	3
इं	एक	3
,	मानिसलाई	3
लडाइ	सेनापति	3
नाक्‍ती	,	3
लोव़	निन्दा	3
प्रभुमी	परमेश्‍वर	3
लोव़	सहमत	3
पाइब	राख्‍ने	3
का	गर्छु	3
पा	अगाडि	3
फेस्‍तस	फेस्तस	3
पर्बम	विरुद्ध	3
मुददा	इन्साफ	3
दोस	विरुद्ध	3
आ	ल्याउने	3
हजुरपुकी	मानिसहरू	3
ब्रेक्‍चा	कुराहरू	3
अग्रीप्‍पामी	अग्रिपासले	3
सरकार	अग्रिपास	3
।	राख्‍न	3
नङ	गर्दछु	3
गाक्‍ती	गरेँ	3
ङा	कोसिस	3
पा	जानेका	3
यहूदी	:	3
बौला	पागल	3
,	व्यवहार	3
क्रेट	क्रेटको	3
जहाज	जहाजका	3
टापु	टापुको	3
नां	जहाजलाई	3
ओरग्‍या	गहिराइ	3
तोक्‍शा	तल	3
आंइ	उत्साहित	3
साइक्‍ब	हत्यारा	3
ग्रुम्‍शा	,	3
नेल्‍लेमी	साथ	3
जचा	थियौँ	3
कली	नाउँको	3
बाक्‍चा	रहोस्	3
अर्को	यहूदीहरू	3
यावेमी	प्रकाश	3
थुंमी	हृदयका	3
ठेयब	घमण्डी	3
यावेमी	उहाँको	3
पची	हुने	3
सजाइ	क्रोध	3
पाइब	गर्नुहुन्‍न	3
गेब	दिन्छ	3
गो	मानौँ	3
नङ	हौ	3
आन	हुनेहरूका	3
ग्रांग्रा	घृणा	3
मदुम्‍नीम	हो	3
सराप	श्राप	3
लोव़	अधीनमा	3
परमप्रभु	व्यवस्था	3
बाक्‍नीम	छैन	3
चिनु	कि	3
नु	उपस्थितिमा	3
मारेइ	अस्तित्वमा	3
दुम्‍शो	समर्थ	3
मपथु	बरु	3
बाक्‍यानु	हुँदा	3
बेक्‍त	मर्नुभयो	3
शुश	आफ्नो	3
ख्रीस्‍तम	ख्रीष्‍टद्वारा	3
खोदेंशो	प्रतिरूप	3
गेशो	आउने	3
देंचा	भनौँ	3
मो	यस्तो	3
ख्रीस्‍त	ख्रीष्‍टसँग	3
गेनायो	उहाँ	3
ग्रांग्रा	अशुद्धता	3
ग्‍युंबे	विवाहित	3
येसु	तिमीहरू	3
नु	अर्थात्	3
मरिम्‍शो	पापमय	3
मदाक्‍शो	त्यही	3
अर्को	फरक	3
थुं	गर्छु	3
थुंमी	मानसिकता	3
थुंमी	शरीरमा	3
मेको	शरीरलाई	3
फाल्‍शा	धैर्यसाथ	3
पुंइचा	प्रार्थना	3
नेल्‍ल	खोजी	3
रे	अलग	3
कली	अधिकार	3
शिशी	दयाका	3
खोदेंशो	थिए	3
फुल्‍लुमी	लाग्‍ने	3
लोव़	सुन्‍न	3
ङोंइती	,	3
मोपा	यसको	3
माल्‍शा	खोजी	3
तन्‍न	अब	3
राशी	कलमी	3
पा	अन्जान	3
गेशो	वरदानहरू	3
गेनायो	अपरिवर्तनशील	3
थुं	मनलाई	3
मारेइ	निम्ति	3
खोदेंशो	बलिको	3
ठीक	सिद्ध	3
पुंइसाक्‍वे	वरदान	3
पावो	गरोस्	3
श्‍येत	दुःखमा	3
ङा	मनका	3
परमप्रभु	प्रेममा	3
छिङछिङ	अन्धकारका	3
तेल्‍लेम	अनैतिकता	3
दुम्‍शा	धारण	3
,	यसका	3
चहिं	अर्कोले	3
श्‍ये	प्रभुकै	3
मारदे	यही	3
दुम्‍त	हुनुभयो	3
थुं	चोट	3
दुशा	शान्ति	3
पाइतीनी	गर्ने	3
पने	छन्	3
बाक्‍ब	राख	3
दाक्‍शो	खुसी	3
कुम्‍सो	गाउनेछु	3
ग्‍येरसीन	आनन्द	3
थुं	शान्तिले	3
ङोंइती	कुराहरूमा	3
नु	सबैसँग	3
शुश	कडा	3
बाक्‍कीन	देओ	3
गेनन्‍नी	गर्छु	3
बाक्‍कीन	गरेका	3
सहर	मण्डलीलाई	3
शुश	ज्ञानमा	3
रिम्‍शो	धन्यवाद	3
खोदेंशो	मानवीय	3
ख्रीस्‍त	क्रुसको	3
मूर्ख	मूर्खता	3
नमी	कहाँ	3
दाइल	लाग्‍ने	3
गेब	बन्‍नुभयो	3
,	डर	3
।	गर्नुहुन्छ	3
हीरा	पत्थर	3
मीम	प्रकट	3
मीम	आगोद्वारा	3
पाइतक	गर्‍यौँ	3
ठेयब	फरक	3
पाइतीनी	छौ	3
दुम्‍तक	छौँ	3
मचाप्‍ब	दुर्बल	3
ग्रांग्रा	घिनलाग्दा	3
ब्रेक्‍ताक्‍ङ	लेख्छु	3
सोइक्‍ताक्‍ङ	पठाएँ	3
ठेयब	अहङ्कारी	3
खोदेंशो	भएजस्तै	3
थुं	साथ	3
थोव़क	खाना	3
इं	उहाँसँग	3
रांमी	शरीरमा	3
वोंइश	पुरुषको	3
यो	अनैतिक	3
मप्रोनल	सम्बन्ध	3
बाक्‍चा	सन्तुष्‍ट	3
मख्रोंइ‍सीशो	खतना	3
मपने	नगरोस्	3
श्‍येत	आउन	3
पा	व्यवहार	3
चिक्‍शो	अन्त्य	3
पचा	पार्ने	3
ग्‍येरपाइक्‍चा	प्रसन्‍न	3
मरिम्‍शो	व्यवहार	3
ग्‍येरशा	परमेश्‍वरको	3
नु	परमेश्‍वर	3
मिम्‍शा	भएको	3
मजोक्‍ब	कमजोर	3
पुंइसाक्‍व	मर्नुभयो	3
आ	कामको	3
दे	गर्नुहुन्छ	3
दुम्‍मल	जित्‍नको	3
ङोंइती	एक	3
यावे	प्रसन्‍न	3
मदुमीन	नहोओ	3
फाल्‍ने	सहन	3
बारपाइक्‍ब	प्रदान	3
पाइनुङ	बोल्दछु	3
बाक्‍य	हौँ	3
ठीक	न्यायसङ्गत	3
मारेइ	कुरामा	3
दारस	गौरव	3
वोंइश	पुरुषबाट	3
बाक्‍नीनी	हुन्छ	3
ग्रुम्‍तीक	मण्डलीलाई	3
मिनु	त्यसरी	3
नाक्‍शा	जाँच	3
सुइक्‍चा	कि	3
परमप्रभु	अगमवाणीको	3
वाइलीम	स्वतन्‍त्र	3
कांइचीक	अङ्गले	3
आइक्‍च	कमजोर	3
नोले	तेस्रो	3
आ	अन्य	3
मिम्‍ताक्‍ङ	गरेँ	3
मेकोमी	व्यक्‍तिले	3
बाक्‍कीने	बन	3
देय	जाँच	3
पुंइसाक्‍व	पारिनुभयो	3
सेंचा	पुनरुत्थान	3
गुइम	अधीनमा	3
बेक्‍चा	हाम्रा	3
खाल	शरीर	3
तास्‍ला	चन्द्रमाको	3
सोरुल	ताराको	3
लाइब	भएर	3
बेक्‍चा	प्राकृतिक	3
सेल्‍शो	बनेको	3
ङोंइती	र	3
लमे	छ	3
यो	शक्‍ति	3
मुम्‍मुशा	चुम्बनले	3
थमा	विश्‍वासीहरूलाई	3
सेल्‍नीकी	होस्	3
नेंमी	ख्रीष्‍टद्वारा	3
नाइक्‍पाइक्‍चा	सहभागी	3
मोदेंशो	त्यस्तो	3
ख्रीस्‍तमी	ख्रीष्‍टमा	3
श्‍येत	दुःखित	3
मरिम्‍शो	उसले	3
ब्रोव़शो	मिठो	3
रिना	सुबास्‍ना	3
बाक्‍नीकी	हौँ	3
मेकोमी	परमेश्‍वरले	3
सेल्‍शा	बनाउनुभएको	3
गिल्‍शो	घुम्टो	3
प्रभु	परमप्रभुबाट	3
जाम्‍शा	विनाश	3
तशो	देखिने	3
लोव़	गर्व	3
गारपाइक्‍तु	ल्याउनुभयो	3
आ	लेखा	3
देंनीकी	गर्दछौँ	3
चोक्‍चा	कैदी	3
शिशी	दयामा	3
पा	सट्टामा	3
बाक्‍नुङ	गर्नेछु	3
दुम्‍नुङ	हुनेछु	3
रां	अशुद्ध	3
यो	फाइदा	3
तीतस	तीतसको	3
ङोंइती	सुरु	3
मोपा	हामीले	3
शेंचा	आवश्यक	3
दे	भाइहरूलाई	3
शुश	किसिमले	3
गेय	सेवाको	3
बोल्‍यो	शक्‍तिशाली	3
दुम्‍खु	भेस	3
गाक्‍चा	खतरामा	3
गाक्‍ङा	खतरामा	3
मचाप्‍ब	दुर्बलतामा	3
दिचा	कामवासनाको	3
आं	अन्तमा	3
रागीम	भएका	3
थमा	अरू	3
पतीके	व्यवस्थाद्वारा	3
परमप्रभु	शरीरमा	3
साइक्‍चा	दिनुभयो	3
पतीक	अनुसारका	3
मुरपुकी	यसै	3
येसु	येशूद्वारा	3
नेंमी	येशूमा	3
।	होइनन्	3
पशो	कुराहरूलाई	3
रुम्‍सीब	हो	3
आल	जन्माउने	3
नु	गरिएका	3
मूर्ति	मूर्तिपूजा	3
अरु	अर्काको	3
स्‍वर्गम	स्थानहरूमा	3
।	पार्नुभयो	3
योव़तु	चुन्‍नुभयो	3
दाक्‍ताक्‍व	गर्नुभयो	3
ठेयब	प्रशंसाको	3
सक्तिम	शक्तिको	3
सेल्‍तु	बनाउनुभयो	3
लोव़	सेवक	3
कली	आग्रह	3
बारन	होस्	3
नेंमी	उत्साह	3
आ	यस्तो	3
इ	तिमीमा	3
आलपुकी	छोराछोरीहरू	3
आफपुकी	बुबाहरू	3
गेपुकीमी	सारा	3
पाप	मुक्तिको	3
सोइक्‍ताक्‍ङ	पठाएको	3
कोव़ब	बिशप	3
पतीके	गरेको	3
आगाम	पृथ्वीमुनि	3
जाक्‍नुङ	छु	3
ममाइ	नभएर	3
आन	गर्नेहरूदेखि	3
।	गरौँ	3
।	दिन्छौँ	3
इन	सहनशीलता	3
हुशेमी	रगतद्वारा	3
नु	आत्मामा	3
हना	तिमीहरूका	3
वोंइश	पतिहरूका	3
वाइल	सङ्गी	3
मोपा	,	3
शुश	सक्दो	3
श्‍येत	यसैको	3
ब्रेक्‍चा	लेख्‍न	3
कली	जिउन	3
यो	आउनुहुनेछ	3
आ	आगमनको	3
नाक्‍त	दिनका	3
गेय	स्वर्गदूतहरूका	3
आंइ	अब	3
गे	विश्‍वासमा	3
थुं	हृदयलाई	3
मिम्‍तीके	विवेक	3
दाक्‍तीके	अनुग्रह	3
थमा	भरोसायोग्य	3
माल्‍ब	समझदार	3
रिम्‍शो	सक्‍ने	3
ङा	राम्रोसँग	3
रागीमी	शरीरमा	3
ठिटी	जवान	3
नेल्‍ल	राज्‍य	3
मदुमीन	भन	3
सु	कसैले	3
शोर	मूल्यहीन	3
फल	निष्फल	3
शुश	आनन्द	3
मेकोमी	जसको	3
जेल्‍खानम	कारागारमा	3
छेङछेङ	चमक	3
पाइब	मुकुट	3
पाप	समर्पण	3
मदुमीन	नपार	3
७	सातौँ	3
मेकोमी	यसले	3
चढ़ेचा	बलि	3
गेना	सधैँका	3
लोव़	प्रतिज्ञा	3
कसम	शपथविना	3
चाप्‍ब	हुनुहुन्छ	3
थुम्‍तु	गर्नुभयो	3
भेटी	बलिदानहरू	3
सेल्‍चा	थोकहरू	3
माल्‍बा	हुने	3
हिंचा	डरलाग्दो	3
यो	विश्‍वासद्वारा	3
चाप्‍ब	सक्‍नुहुने	3
साइक्‍चा	दुःख	3
श्‍ये	शरीरलाई	3
शेंने	वशमा	3
कशो	तितो	3
कली	गर्नुहुन्छ	3
गेय	शक्‍तिशाली	3
पाप	मुक्ति	3
येसु	जस्तो	3
फुल्‍लुमी	ठक्‍कर	3
अधिकार	अधिकारलाई	3
पशा	गरेर	3
बाक्‍ब	गर	3
सुक्‍कुर	बिहानको	3
क्‍येङा	घोर	3
खुइ	चोरजस्तै	3
दूली	विरोधी	3
मदाक्‍बा	गर्दैन	3
शेंब	एल्डर	3
नित्‍तीके	सिंहासनका	3
ङोंइती	पुजारीहरू	3
आल्‍फा	अल्फा	3
ओमेगा	ओमेगा	3
ब्रेक्‍तो	लेख	3
बुश	सेता	3
खोला	पानीको	3
नेंने	जसको	3
चोक्‍ने	बन्द	3
वाक्‍श	इन्द्रेणी	3
जन्‍तु	प्राणीमध्ये	3
बाक्‍तेक्‍मे	थिए	3
निप्‍ब	हुनुहुने	3
मेकोमी	स्वर्गदूतले	3
खाल्‍पा	एल्डरहरूका	3
राप्‍शो	उभिरहेको	3
सेस	परेर	3
ताक्‍तु	दिइयो	3
मी	एक-तिहाइ	3
सां	भागमा	3
पुं	अतल	3
ग्रूशो	आइरहेको	3
सेंदामी	आवाजले	3
शारा	घोडाहरू	3
ओटा	गर्जनले	3
सेल्‍ब	थोक	3
जन्‍तु	पशुले	3
हिक्‍तीक	सङ्ख्या	3
जन्‍तु	त्यो	3
हजार	१	3
दुम्‍त	छ	3
चहिं	अस्तित्वमा	3
जेल्‍खान	वासस्थान	3
श्‍येत	थिई	3
तशा	रुने	3
घन्‍टा	एकै	3
ग्‍याप्‍ब	तेरा	3
मनेंसीब	कहिल्‍यै	3
हुम्‍चा	फालियो	3
उत्तरम	तिनवटा	3
किताबमी	पुस्तकको	3
इसहाक	याकूबका	2
इसहाक	याकूब	2
अब्राहाममी	तिनका	2
थिम्‍सी	फारेस	2
अम्‍मीनादाब	आराम	2
अम्‍मीनादाब	अम्मीनादाबका	2
नहशोन	अम्मीनादाब	2
नहशोन	नहशोनका	2
नहशोन	नहशोन	2
नहशोन	सल्मोनका	2
बोआज	बोअजका	2
बोआज	बोअज	2
बोआज	ओबेदका	2
बोआज	यिशैका	2
मीश	पत्‍नीद्वारा	2
बेबीलोन	बेबिलोनमा	2
लोक्‍ब	दाजुभाइहरूका	2
जेरूब-बाबेल	शालतिएलका	2
जेरूब-बाबेल	शालतिएल	2
जेरूब-बाबेल	यरुबाबेलका	2
एल्‍याकीम	एल्याकीमका	2
याकूबमी	याकूब	2
दुम्‍मा	जम्मा	2
कुरशो	भएकी	2
आल	पति	2
मरीयम	योसेफ	2
मुने	गोप्य	2
रिम्‍शो	निर्णय	2
तवानु	परे	2
खिं	पत्‍नीको	2
कोव़जम	गर्भमा	2
वोतो	राख्‍नेछौ	2
प्रोंइब	बचाउनुहुनेछ	2
मीश	कन्या	2
थीब	जन्माउनेछिन्	2
वोइक्‍नीम	राख्‍नेछन्	2
सेंसीशा	निद्राबाट	2
जरमेसे	हुनुहुन्छ	2
ठेयब	दण्डवत्	2
यरूसलेममी	यरूशलेम	2
सास्‍त्री	शास्‍त्रीहरूलाई	2
बेथलेहेम	बेथलेहम	2
लने	पठाए	2
मालीन	खोज	2
ओव़शा	पसे	2
पोक्‍च	दण्डवत्	2
थेक्‍शा	गरे	2
हेरोद	हेरोदकहाँ	2
हेरशा	भएर	2
नोले	गइसकेपछि	2
मोबु	उठ	2
मोबु	सानो	2
आस	आमालाई	2
नाक्‍दोन	रात	2
योसेफमी	योसेफ	2
मोबु	आमालाई	2
तुइश्‍शा	रिसाए	2
गाउं	क्षेत्रका	2
आल	बालकहरू	2
स्‍वर्ग	दूत	2
पिप	शासन	2
यहूदीया	त्यहाँ	2
रागी	क्षेत्रतिर	2
आ	बोलिएको	2
ग्रुंइब	बप्‍तिस्‍मा-दिने	2
सेलीने	तयार	2
सेलीने	पार	2
फुल्‍लु	मार्गहरू	2
कुशुल	छालाको	2
किप्‍बाक्‍माक्‍त	लगाउँथे	2
बाक्‍बाक्‍माक्‍त	थिए	2
खोलामी	नदीमा	2
यूहन्‍नामी	बप्‍तिस्‍माको	2
खलकपुकी	सन्तान	2
सजाइ	चेतावनी	2
फुल्‍लु	भन्दछु	2
सेल्‍ने	गराउन	2
तिम्‍चा	रुखहरूको	2
पुंमी	बन्चरो	2
पुंमी	परिसकेको	2
मीमी	आगोमा	2
ग्रुंइनन्‍नी	दिन्छु	2
मीमी	आगोले	2
ख्रुम्‍ब	बप्‍तिस्‍मा	2
हुरशा	सफा	2
ग्‍योल	निफन्‍ने	2
भूस	भुसलाई	2
यूहन्‍ना	नदीमा	2
ग्रुंइचा	रोक्‍न	2
सैतान	दुष्‍टबाट	2
रागीमी	डोर्‍याइनुभयो	2
नाक्‍दो	उपवासमा	2
शोव़लु	भोकाउनुभयो	2
दुमीन	गर्नुहोस्	2
जशा	रोटीले	2
आन	तपाईंको	2
गुइम	हातले	2
मेकेर	स्थानमा	2
बाक्‍त	देखायो	2
सेलो	गर्नेछस्	2
सेउ	सेवा	2
सैतानमी	दुष्‍ट	2
यसैया	अगमवक्‍ताद्वारा	2
आइक्‍ची	भूमि	2
जाक्‍चशो	नजिक	2
वोबु	देख्‍नुभयो	2
ङांइ	मछुवाहरू	2
खोइय्‍यीसी	आओ	2
खोइय्‍यीसी	लाग	2
रेप्‍ब	मछुवाहरू	2
सेल्‍नन्‍सी	बनाउनेछु	2
खोदसे	लागे	2
प्रोव़न	मर्मत	2
ब्रेत्‍तीम्‍सी	बोलाउनुभयो	2
खिंमी	सिकाउँदै	2
रोइमी	हर	2
मदुक्‍ब	पक्षाघातीहरू	2
डांडा	डाँडामाथि	2
सेंदा	मुख	2
राइनीम	आत्मामा	2
केन	तिनीहरूकै	2
हेला	अपमान	2
पाम्‍तेक्‍म	भन्दछन्	2
ङा	पृथ्वीका	2
ङाम्‍चा	स्वाद	2
जाम्‍त	गुमायो	2
ङाम्‍चा	नुनिलो	2
गाक्‍मानु	खुट्टाले	2
मवोइक्‍नीम	राख्दछन्	2
पशो	कामहरूलाई	2
मग्‍याम्‍ब	बितेर	2
के	आज्ञाहरूका	2
आन	अरूलाई	2
शेंबा	सिकाउँदछ	2
दुम्‍ब	ठहरिनेछ	2
गेय	बढी	2
ङा	रीतिले	2
मताइनीनी	गर्नेछैनौ	2
सजाइ	इन्साफको	2
गेचा	जोखिममा	2
पुंइसीब	जोखिममा	2
मेको	छोड	2
निसाफ	न्यायकर्ताको	2
बाक्‍नीनुन	हातमा	2
मथाप्‍पाइक्‍थु	पैसा	2
मथाप्‍पाइक्‍थु	त्यहाँबाट	2
पाप	ठोकर	2
पपाइक्‍तु	खान्छौ	2
जाम्‍शा	भाग	2
लशो	गुमाउनु	2
ख्रोइश्‍शा	काटिदेऊ	2
मीश	कामुक	2
नाता	व्यभिचारिणी	2
नाता	गर्दछ	2
मारदे	भन्दछु	2
पिया	शिरको	2
इन	सट्टामा	2
पाम्‍तेक्‍म	प्रतिरोध	2
चोव़चो	गालामा	2
राप्‍चा	थापिदेऊ	2
अडडाम	अदालतमा	2
बरखी	खास्टो	2
लचा	जानको	2
पुंइशो	माग्‍ने	2
जोरी	शत्रुलाई	2
सत्रु	घृणा	2
नां	घामलाई	2
नेल्‍ल	अधर्मी	2
ताइनीनी	गर्‍यौ	2
कली	कसैलाई	2
गेनीनु	दान	2
गेनीनु	दिन्छौ	2
लांमी	सडकहरूमा	2
कपटीपुकीमी	गरेजस्तै	2
मबाक्‍ब	पाइसकेका	2
,	जाओ	2
मतुइक्‍थु	गुप्‍तमा	2
पुंइशो	सुनाइ	2
बाक्‍ल	गरियोस्	2
जाक्‍ल	आओस्	2
गेने	गरिदिनुहोस्	2
मगेने	नडोर्‍याउनुहोस्	2
कली	पापलाई	2
गेतीनी	गर्‍यौ	2
मगेब	गर्नुहुनेछैन	2
आंइ	अगि	2
बाक्‍शो	हुनुहुने	2
खुइपुकीमी	नष्‍ट	2
मजोइब	खिया	2
मजोइब	किराले	2
छिङछिङ	अँध्यारो	2
मदाक्‍ब	घृणा	2
फेक्‍चा	खाउँला	2
फेक्‍चा	पिउँला	2
फेक्‍चा	लगाउँला	2
बाक्‍ब	मूल्यवान्	2
चिक्‍ब	आकाशका	2
मशोक्‍नीम	न	2
मखुप्‍नीम	छर्छन्	2
मननी	छैनौ	2
चाप्‍नीनी	सक्छ	2
फेक्‍चा	लगाउने	2
मिम्‍नीनी	गर्छौ	2
तांइसीनीमी	फुलहरूलाई	2
गिश	कसरी	2
पा	न	2
मपाइनीम	गर्छन्	2
पांइतो	न	2
सोलोमन	सोलोमन	2
घांस	आज	2
फू	मैदानका	2
मचाप्‍बपुकी	अल्प-विश्‍वासीहरू	2
मालीने	खोजी	2
दीसा	भोलिको	2
नाक्‍तीनी	इन्साफले	2
मोपा	इन्साफ	2
नाक्‍चा	गर्छौ	2
ताइनीनी	नापिनेछौ	2
लोक्‍ब	भाइका	2
मिक्‍चीम	सानो	2
मुढा	मुढालाई	2
फेत्‍नुङ	देऊ	2
मुढा	मुढाचाहिँ	2
कसीङगर	स्पष्‍टसँग	2
कुचुम	कुकुरहरूलाई	2
मोती	मोतीहरू	2
थित्‍नीनी	भेट्टाउनेछौ	2
ख्रोकोल	ढकढक्याऊ	2
सुम	माग्‍ने	2
‘	उसलाई	2
गेनीनी	देला	2
बाक्‍तीनी	भएर	2
तमी	छोराछोरीलाई	2
तौ	माग्‍नेहरूलाई	2
गेमी	मानिसहरूले	2
पपांइसीचा	गरेको	2
पने	गर्नुपर्छ	2
गेना	जीवनमा	2
तशा	फलहरूद्वारा	2
मरिम्‍शो	चिन्‍नेछौ	2
फोव़शी	अन्जीर	2
मसिप्‍ब	सक्दैन	2
रवामी	न	2
तिम्‍शा	काटिनेछ	2
शी	आगोमा	2
दुम्‍ब	अगमवाणी	2
मपका	थिएनौँ	2
ङोन	मबाट	2
लने	गइहाल्	2
आं	गर्छ	2
सेल्‍तु	बनायो	2
यिशा	पर्‍यो	2
भोल	हुरी	2
शोर	मूर्ख	2
छक	साह्रै	2
लाक्‍मा	अचम्मित	2
बाक्‍त	पछ्यायो	2
जाक्‍शा	कुष्‍ठरोगी	2
दाक्‍नुङ	होऊ	2
चढ़ेब	नभन्‍नू	2
बाक्‍मे	चढाऊ	2
अधिकारमीन	मुनि	2
बाक्‍नुङ	राखिएको	2
लावो	सिपाहीहरू	2
ब्रेत्‍तुनु	भन्‍छु	2
पीब	आउँछ	2
मदुनु	त्‍यो	2
दाइश्‍शा	भन्‍छु	2
स्‍वर्ग	स्‍वर्गीय	2
दुम्‍ल	गरियोस्	2
ओव़मेनु	आउनुभयो	2
शिमी	सासू	2
जरो	ज्‍वरोले	2
कली	येशूकहाँ	2
खेरमी	निकाल्नुभयो	2
रोइ	बिरामीलाई	2
आइक्‍ची	अर्कोपट्टि	2
सास्‍त्री	शास्‍त्री	2
ढोडोङगा	दुला	2
बाक्‍ब	छन्‌	2
मिनु	चेलाहरूमध्ये	2
थिम्‍चा	गाड्न	2
ब्‍वाक्‍कु	समुद्रमा	2
फश	आँधीबेहरी	2
गिवार	डुङ्गा	2
है	मर्नै	2
ओहो	परे	2
बाक्‍म	हुनुहुन्छ	2
फश	समुद्र	2
हांबु	गदरिनीहरूको	2
पोव़	सुँगुरहरूको	2
आंइ	गरिरहे	2
पोव़मी	पसे	2
प्रेक्‍न	डुबेर	2
प्रोक्‍शा	दौडेर	2
रे	त्‍यहाँबाट	2
खोइल	ओछ्यानमा	2
मदुक्‍ब	पक्षाघात	2
,	आनन्दित	2
इ	त्यहाँका	2
सास्‍त्री	शास्‍त्रीहरूले	2
कुरशा	उठाऊ	2
मुर	गरेको	2
ताप्‍तु	देख्‍नुभयो	2
खोइक्‍तु	लागे	2
जन	खाना	2
बाक्‍मानु	बस्‍नुभयो	2
शेंसीबपुकी	चेलाहरूसँगै	2
काथा	पापीहरूसँग	2
रोइ	शरीरमा	2
मपशो	बलियो	2
माल्‍नीम	छन्	2
शेंसीने	सिक	2
चढ़ेतीक	बलिदान	2
ठीक	धर्मीहरूलाई	2
जन्‍तीपुकी	विवाहमा	2
काथा	तिनीहरूका	2
काथा	साथमा	2
फ्राचा	तिनीहरूबाट	2
माइत	टुक्रा	2
कुर	त्यसो	2
क्‍युप्‍ब	नष्‍ट	2
शांबु	दाखमद्यलाई	2
का	अधिकारी	2
”	हुनेछिन्	2
लाम्‍तेक्‍म	लाग्‍नुभयो	2
लाम्‍तेक्‍म	लागे	2
याप्‍शा	बग्‍ने	2
फेक्‍शो	छेउ	2
ताता	छोएँ	2
सानुङ	निको	2
कोव़शा	फर्कनुभयो	2
सामाक्‍त	भइन्	2
आल	युवती	2
इप्‍शो	निदाएकी	2
ओव़त	जानुभयो	2
बुदी	निम्ति	2
ताइब	खोलिए	2
मार	हेर	2
लाटा	नसक्‍ने	2
चाक्‍तेक्‍म	येशूकहाँ	2
चाक्‍तेक्‍म	ल्याइयो	2
लोव़	बोल्यो	2
मेकेर	भिडहरू	2
गेनायो	कहिल्‍यै	2
“	भनिरहेका	2
खिंमी	जानुभयो	2
गोठला	गोठालाविनाका	2
रुप्‍ब	खेतालाहरू	2
याकूब	भाइ	2
थदेयस	थेदियस	2
मलने	नजाओ	2
सामरीया	सामरीहरूको	2
भेडा	भेडाकहाँ	2
शेंदीने	प्रचार	2
मकुरीन	नबोक	2
झोला	फाल्तु	2
हिल्‍लो	को	2
मिनु	भनी	2
ओव़नीनु	पस्छौ	2
गेने	गर	2
आसीक	फर्केर	2
मगेम्‍तेक्‍म	गर्दैन	2
,	जाँदा	2
सजाइ	सहनीय	2
भेडा	हेर	2
फर	ब्वाँसाहरूका	2
खोदेंशो	पठाउँदै	2
युक्‍नीम	कोर्रा	2
युक्‍नीम	लगाउनेछन्	2
सांकछी	गवाहीको	2
मपाइनीनी	होइनौ	2
लोक्‍बमी	दाजुले	2
आ	मृत्युको	2
साइक्‍पाइक्‍चा	बुबाले	2
पर्बम	खतिर	2
मदाक्‍नीम	घृणित	2
मदाक्‍नीम	हुनेछौ	2
फाल्‍शा	सहन्छ	2
बाक्‍कीन	भाग	2
मजाक्‍म	नआउञ्‍जेलसम्म	2
क्‍येङा	गुरुभन्दा	2
दुम्‍ने	हुनु	2
नोफाम	कानमा	2
नोफाम	घरको	2
नोफाम	धुरीबाट	2
नेंपतीने	गर	2
भंगेरा	सिक्‍कामा	2
मग्‍याम्‍सीबा	भङ्गेरा	2
आन	शान्‍ति	2
गारपाइक्‍थ	ल्याउन	2
जाक्‍शो	आएँ	2
चाइमी	विरुद्ध	2
जोरी	शत्रुहरू	2
दाक्‍बपुकी	गर्छ	2
मशिरनीम	हुँदैन	2
प्रोंइचा	जीवन	2
लाइब	उसले	2
प्रोंइचा	गुमाउनेछ	2
ब्राप्‍तु	गर्दछ	2
दे	कचौरा	2
गाक्‍त	जानुभयो	2
जेल्‍खानमी	झ्यालखानाबाट	2
नेंनी	देखेका	2
तनी	छौ	2
गाक्‍बाक्‍तेक्‍म	कुष्‍ठरोगीहरू	2
साबाक्‍तेक्‍म	पारिएका	2
ताइबाक्‍तेक्‍म	छन्	2
साइ	थाल्नुभयो	2
लनी	निगालोलाई	2
?	के	2
लनी	अगमवक्‍तालाई	2
ङोंइङोंइती	अगि-अगि	2
लोव़	समाचारवाहकलाई	2
